scenario,tot_stock_C,tot_stock_E,tot_stock_N,tot_stock_P,tot_stock_S
CH0SP1SE1WE1BP1RE0CO0DI1WO1CS0,167918562,2815190,17177306,36616127,897399
CH0SP0SE0WE0BP1RE0CO1DI0WO0CS0,173960617,1791375,23925643,24806427,940522
CH1SP0SE1WE1BP0RE0CO0DI1WO1CS0,169606945,7398703,17945373,29505466,968097
CH0SP1SE0WE0BP0RE1CO0DI1WO0CS1,161814124,2073350,15161683,44220424,2155003
CH1SP0SE1WE1BP1RE0CO0DI1WO0CS1,170569630,3739877,20983889,28468342,1662846
CH0SP1SE0WE0BP1RE1CO0DI0WO1CS0,168775529,3024822,19427472,33139822,1056939
CH1SP0SE1WE0BP1RE1CO0DI1WO1CS0,163647162,9934221,19793596,30863691,1185914
CH1SP1SE0WE0BP1RE0CO1DI1WO0CS0,164651737,3169414,17505468,39401090,696875
CH0SP1SE0WE0BP0RE0CO0DI1WO0CS1,167479289,1337537,15377093,39676644,1554021
CH1SP0SE1WE1BP0RE1CO1DI0WO0CS0,169124353,6353962,19328086,29373462,1244721
CH0SP0SE1WE0BP1RE1CO0DI0WO1CS0,171163946,4377730,23061434,25694065,1127409
CH1SP0SE1WE1BP0RE1CO1DI0WO0CS1,168906232,6121376,19530918,28566013,2300045
CH1SP1SE0WE0BP0RE1CO0DI1WO0CS0,161631526,4337062,14913117,43380844,1162035
CH0SP0SE1WE1BP1RE0CO0DI0WO1CS0,175046571,3206985,23067935,23355641,747452
CH1SP1SE0WE1BP0RE1CO1DI0WO0CS0,166687406,3927179,16147646,37833607,828746
CH0SP1SE0WE1BP0RE0CO1DI0WO1CS0,171317752,2473786,16505272,34425585,702189
CH0SP1SE1WE0BP1RE1CO1DI0WO0CS1,166287282,2235296,19228854,35113830,2559322
CH1SP0SE1WE1BP0RE1CO0DI0WO1CS0,169965541,8270504,18793788,27140863,1253888
CH0SP1SE1WE0BP0RE1CO1DI0WO0CS0,166744684,2520073,16038276,38800924,1320627
CH0SP0SE0WE0BP1RE0CO0DI0WO0CS1,175070812,1321924,23510051,23819883,1701914
CH1SP0SE0WE0BP1RE0CO1DI1WO0CS0,168146850,4582468,21644545,30197143,853578
CH0SP0SE0WE1BP0RE0CO0DI1WO1CS0,171103879,3668656,18617811,31005913,1028325
CH1SP0SE0WE1BP1RE0CO1DI1WO0CS0,168925319,3979081,21586284,30197911,735989
CH0SP0SE1WE0BP1RE1CO0DI1WO0CS1,165504777,3148532,20989704,33214902,2566669
CH0SP1SE0WE1BP0RE0CO0DI0WO1CS0,172992242,2185434,16462238,32752159,1032511
CH0SP0SE1WE0BP0RE0CO0DI1WO0CS0,171221498,2621528,18816569,31650666,1114323
CH0SP0SE1WE1BP0RE0CO1DI0WO0CS0,174257224,2549165,20313117,27188775,1116303
CH1SP0SE0WE0BP1RE1CO0DI1WO0CS0,165159779,5488525,20914193,32553013,1309074
CH0SP0SE0WE1BP0RE1CO0DI1WO0CS0,166494123,2668608,18836113,35836742,1588998
CH1SP0SE0WE1BP1RE0CO1DI0WO0CS0,173453546,2713206,23809184,24635935,812713
CH1SP1SE0WE1BP1RE0CO0DI1WO0CS0,167883345,1935999,17500332,37041011,1063897
CH0SP1SE1WE0BP1RE0CO0DI0WO1CS0,172657982,2488047,19601907,29918866,757782
CH0SP0SE0WE1BP0RE1CO0DI0WO1CS0,171812828,3937897,19612157,28761234,1300468
CH1SP0SE1WE0BP1RE1CO1DI1WO0CS0,162449932,7478880,20555889,33549889,1389994
CH0SP0SE1WE0BP0RE0CO0DI0WO0CS1,175058802,2171242,20198590,25939540,2056410
CH1SP1SE0WE0BP1RE0CO0DI0WO0CS1,172363422,1645250,19657851,30287258,1470803
CH1SP1SE0WE0BP1RE0CO1DI0WO0CS1,170317571,2288762,19566101,31902987,1349163
CH1SP0SE0WE0BP0RE0CO1DI0WO0CS1,172677661,3654745,20231889,26973819,1886470
CH0SP1SE0WE0BP0RE0CO0DI0WO0CS1,172557175,1143787,16479092,33654465,1590065
CH1SP0SE0WE1BP0RE0CO1DI0WO1CS0,172210180,6471514,19477023,26264467,1001400
CH1SP0SE1WE0BP0RE1CO0DI1WO1CS0,163729567,10275739,17442324,32350098,1626856
CH0SP1SE1WE0BP0RE0CO0DI0WO1CS1,172407654,2805540,16311659,32261416,1638315
CH1SP1SE0WE1BP0RE1CO1DI0WO1CS0,165686975,6762251,15944384,36213232,817742
CH1SP0SE0WE1BP0RE1CO0DI1WO0CS0,165998869,5169617,18608221,34312289,1335588
CH0SP1SE0WE0BP0RE1CO0DI0WO0CS0,168944425,1828790,16363050,37123002,1165317
CH0SP1SE0WE0BP0RE0CO1DI1WO0CS0,165283928,1600703,15340868,41925520,1273565
CH0SP1SE0WE1BP0RE1CO0DI0WO1CS0,169148922,2823568,16235058,36020188,1196848
CH0SP0SE1WE1BP0RE1CO1DI0WO0CS0,170455778,3430836,19899843,30382299,1255828
CH1SP0SE0WE0BP1RE0CO0DI0WO0CS0,174847361,2349076,23567715,23937232,723200
CH0SP1SE0WE0BP0RE1CO1DI0WO1CS0,166540919,3631557,16134498,38100287,1017323
CH0SP0SE1WE0BP0RE1CO0DI0WO0CS0,171792794,2990405,19934182,28921075,1786128
CH0SP1SE1WE0BP0RE1CO0DI0WO1CS1,167922719,3660886,15794939,35652749,2393291
CH1SP1SE0WE1BP0RE0CO1DI0WO0CS0,171054379,2257589,16544427,34819051,749138
CH1SP0SE0WE1BP0RE1CO1DI0WO1CS0,167981232,9052283,19075493,28174885,1140691
CH1SP1SE0WE1BP0RE1CO1DI0WO0CS1,166541410,3228299,16162225,37536667,1955983
CH0SP1SE1WE1BP0RE0CO0DI0WO1CS1,172839872,2548242,16104841,32792185,1139444
CH1SP0SE0WE1BP1RE0CO1DI0WO0CS1,173298605,2553041,23468016,24572933,1531989
CH1SP0SE0WE0BP0RE1CO0DI1WO1CS0,163768383,9637111,17759911,33017273,1241906
CH0SP0SE1WE0BP1RE1CO0DI1WO0CS0,165812864,3178001,21198189,33859894,1375636
CH1SP0SE1WE1BP1RE0CO0DI0WO0CS1,174911181,2548815,23235583,23545606,1183399
CH0SP1SE0WE0BP1RE1CO1DI1WO0CS0,159610699,2197179,17313818,45196447,1106441
CH1SP1SE0WE0BP0RE0CO0DI1WO0CS1,166962141,2720815,15226326,39113116,1402186
CH0SP1SE1WE0BP0RE1CO1DI1WO0CS0,159534180,2708749,14851770,47286410,1043475
CH0SP0SE0WE0BP1RE1CO1DI0WO0CS1,169227551,2494602,23954984,27215448,2531999
CH0SP0SE1WE0BP0RE1CO1DI1WO0CS0,163258461,3966915,18430407,38073902,1694899
CH1SP1SE0WE0BP0RE0CO1DI0WO0CS0,170578137,2696616,16523725,34762993,863113
CH0SP1SE1WE0BP0RE1CO0DI0WO0CS1,168279799,2165566,15996498,36503658,2479063
CH0SP0SE0WE0BP0RE1CO1DI0WO0CS1,169031305,2816443,20139672,30226562,3210602
CH0SP0SE1WE1BP0RE0CO0DI0WO1CS0,175390914,3559467,19644964,25697699,1131540
CH1SP1SE0WE1BP1RE0CO0DI1WO1CS0,166988039,4484900,17407795,35782559,761291
CH1SP1SE0WE1BP0RE0CO0DI0WO0CS0,173015563,1796883,16523329,33176012,912797
CH0SP1SE1WE1BP1RE0CO1DI1WO0CS0,166021007,1787028,17477774,38927374,1211401
CH0SP0SE1WE0BP1RE0CO0DI0WO0CS1,175014097,1872763,23542284,23782740,1212700
CH1SP0SE0WE0BP0RE0CO0DI0WO0CS0,175105921,2884560,20175576,26116618,1141909
CH1SP0SE0WE1BP0RE1CO1DI0WO0CS0,169457856,5263419,19875896,29650447,1176966
CH0SP0SE1WE0BP1RE1CO0DI0WO0CS1,170940281,2502690,23489387,26007000,2485226
CH1SP0SE1WE0BP1RE1CO0DI0WO0CS0,170630519,5133329,23293759,25479956,887021
CH0SP0SE0WE0BP1RE1CO0DI0WO0CS0,171883959,2211575,24010310,26175246,1143494
CH0SP0SE0WE1BP1RE0CO0DI1WO0CS1,171509097,1752771,21587596,28969046,1606074
CH1SP0SE1WE1BP1RE0CO1DI0WO0CS0,173322492,3455554,23700091,24220041,726406
CH0SP1SE0WE0BP0RE1CO1DI1WO0CS0,159456120,2288164,14944871,47688564,1046865
CH0SP1SE0WE1BP0RE0CO0DI1WO1CS0,167842374,2431492,15093303,38917863,1139552
CH1SP0SE0WE0BP0RE0CO0DI1WO1CS0,169195201,6846031,18164812,30009253,1209287
CH0SP1SE0WE0BP0RE1CO0DI0WO0CS1,168391213,1829478,16330338,36652637,2220918
CH1SP1SE0WE0BP1RE1CO0DI1WO0CS1,161398641,3749937,16928366,41242638,2105002
CH0SP1SE1WE0BP0RE1CO0DI0WO0CS0,168951531,2227632,16104188,36760392,1380841
CH1SP0SE1WE0BP1RE0CO0DI0WO1CS1,173308237,5364075,22106072,23169724,1476476
CH0SP0SE0WE0BP0RE1CO0DI1WO0CS1,165334752,2844150,18785468,35642358,2817856
CH0SP1SE0WE0BP0RE0CO1DI0WO0CS0,171063238,1344038,16586275,35201829,1229204
CH1SP1SE0WE0BP1RE0CO0DI0WO1CS0,171834651,3696036,19402170,29699536,792191
CH0SP1SE0WE0BP1RE0CO0DI1WO0CS1,167583056,1280238,17560233,37558228,1442829
CH0SP0SE1WE1BP0RE0CO1DI1WO0CS0,169579940,3040721,18959370,32797756,1046797
CH1SP0SE1WE1BP0RE1CO0DI0WO0CS1,171044692,4992324,19552161,27852845,1982562
CH0SP1SE1WE0BP0RE0CO0DI1WO1CS0,167496299,3098555,14966824,38775884,1087022
CH0SP1SE1WE0BP0RE0CO0DI0WO0CS1,172706161,1466105,16432403,33263813,1556102
CH0SP1SE0WE1BP0RE0CO0DI0WO0CS1,172977970,1063602,16663005,33349876,1370131
CH0SP1SE1WE1BP1RE0CO0DI0WO1CS1,172833227,2422332,19385773,29641613,1141639
CH0SP0SE1WE0BP1RE0CO0DI0WO0CS0,175477842,1765688,23898710,23707505,574839
CH0SP1SE0WE1BP0RE1CO0DI1WO1CS0,162606580,3131004,14836650,43573092,1277258
CH1SP0SE1WE1BP1RE0CO0DI0WO1CS0,173953711,5087570,22466224,23213730,703349
CH0SP1SE1WE1BP0RE1CO1DI0WO0CS0,167583241,2326035,16140977,38450806,923525
CH0SP0SE0WE0BP1RE0CO1DI0WO0CS1,173291888,1692685,23589522,24895785,1954704
CH1SP0SE1WE0BP0RE1CO0DI0WO1CS0,169337842,8986586,18755888,27214495,1129773
CH1SP0SE1WE0BP0RE1CO1DI0WO1CS0,166942242,11003983,18442064,27693598,1342697
CH0SP0SE0WE0BP0RE1CO0DI0WO0CS0,171691926,2485444,20141036,29324093,1782085
CH1SP0SE0WE1BP1RE0CO0DI1WO1CS0,169885141,5771584,20701561,27995268,1071030
CH0SP1SE0WE0BP1RE1CO1DI0WO0CS0,166977113,2075622,20053465,35610171,708213
CH0SP1SE1WE0BP1RE0CO1DI0WO1CS0,170830451,3023641,19467319,31377716,725457
CH0SP1SE1WE0BP1RE0CO0DI0WO0CS0,173079278,1277618,19664165,30494155,909368
CH0SP0SE1WE0BP0RE1CO1DI0WO0CS0,169811121,3710070,19813728,30377647,1712018
CH0SP0SE1WE1BP0RE1CO0DI0WO0CS0,172294116,2743375,19845735,29090628,1450730
CH0SP1SE0WE0BP1RE0CO0DI0WO0CS0,173116805,1046822,19987261,30476678,797018
CH0SP1SE0WE1BP1RE0CO1DI0WO1CS0,171203526,2496044,19645930,31253724,825360
CH0SP1SE0WE0BP0RE0CO1DI0WO1CS0,170740082,2681385,16399864,34815442,787811
CH0SP0SE0WE1BP1RE0CO0DI1WO0CS0,171538250,1812813,21713270,29079405,1280846
CH1SP0SE0WE0BP0RE0CO0DI1WO0CS1,170096809,3666496,18931515,30920209,1809555
CH0SP0SE0WE1BP0RE0CO0DI0WO0CS0,175789491,1658252,20403286,26231994,1341561
CH0SP1SE0WE0BP0RE1CO0DI1WO1CS0,161734001,3462566,14901975,44160659,1165383
CH0SP1SE1WE0BP0RE1CO0DI1WO0CS0,162233121,2489251,14917859,44675114,1109239
CH0SP0SE0WE1BP1RE0CO1DI1WO0CS0,169790929,2204945,22100391,30445044,883275
CH0SP0SE0WE1BP1RE0CO0DI0WO0CS0,175734294,1250675,23944725,23757380,737510
CH0SP0SE1WE1BP0RE1CO0DI0WO1CS0,171837770,4622293,19159500,28484572,1320449
CH1SP0SE0WE1BP1RE0CO0DI1WO0CS1,170921678,2867266,21571410,28785065,1279165
CH0SP0SE0WE1BP0RE0CO1DI0WO1CS0,173666387,3861991,19966113,26710608,1219485
CH1SP0SE0WE0BP1RE0CO1DI0WO0CS1,172581406,3105892,23541447,24616576,1579263
CH0SP0SE1WE0BP1RE0CO1DI0WO1CS0,173035477,4360990,22904241,24305075,818801
CH0SP0SE1WE0BP0RE0CO0DI1WO0CS1,170773817,2592202,18813910,31455681,1788974
CH0SP0SE0WE0BP1RE0CO0DI1WO0CS0,171260495,1945624,21705860,29421951,1090654
CH0SP1SE1WE0BP0RE0CO0DI0WO1CS0,172683341,2689932,16242364,32782561,1026386
CH1SP0SE1WE1BP0RE1CO0DI0WO1CS1,169808963,8010694,18719375,26884706,2000846
CH0SP0SE0WE0BP0RE1CO0DI0WO1CS1,170467862,4061145,19508271,28229690,3157616
CH0SP1SE1WE1BP1RE0CO0DI0WO1CS0,173028231,2553972,19659457,29540793,642131
CH1SP0SE1WE0BP1RE0CO1DI0WO1CS0,171301301,7249420,22331853,23709490,832520
CH0SP1SE1WE1BP0RE0CO0DI1WO0CS1,168042189,1600237,15200987,39394666,1186505
CH0SP0SE0WE0BP0RE0CO0DI1WO1CS0,170811071,3678690,18657007,31152997,1124819
CH0SP1SE1WE1BP0RE0CO1DI0WO0CS1,171362526,1609231,16513043,34621025,1318759
CH0SP0SE1WE1BP1RE0CO1DI0WO1CS0,173509754,3990221,23211316,23963466,749827
CH0SP0SE1WE0BP0RE0CO1DI0WO0CS1,173196525,2621456,20178440,27099908,2328255
CH0SP1SE1WE1BP0RE1CO0DI0WO1CS1,168872254,3320124,15867774,35649586,1714846
CH1SP0SE1WE1BP0RE0CO0DI1WO0CS0,170614058,4759529,18676554,30409535,964908
CH0SP0SE1WE1BP0RE0CO0DI1WO0CS0,171464602,2517471,18856927,31475995,1109589
CH0SP1SE0WE0BP0RE0CO0DI0WO1CS0,172769886,2173304,16335035,33016932,1129427
CH1SP0SE1WE1BP1RE0CO1DI0WO0CS1,173044930,3303826,23366032,24335396,1374400
CH1SP0SE0WE1BP0RE1CO0DI0WO1CS1,169991058,6970273,19265363,27118655,2079235
CH1SP1SE0WE1BP0RE0CO0DI0WO1CS0,172074207,3824828,16329092,32335301,861156
CH0SP0SE0WE0BP0RE1CO1DI1WO0CS0,163253757,3371931,18914012,38629530,1255354
CH1SP0SE1WE0BP0RE1CO1DI0WO0CS1,167965614,6635511,19261137,28742727,2819595
CH0SP1SE0WE0BP1RE1CO0DI0WO0CS1,168330809,1596472,19367328,33654353,2475622
CH0SP1SE1WE0BP1RE1CO1DI0WO1CS0,166526066,4188533,19285598,34460965,963422
CH0SP0SE1WE0BP1RE1CO0DI0WO1CS1,170299707,4320489,22530484,25447667,2826237
CH0SP0SE1WE1BP1RE0CO1DI0WO0CS1,173932488,1990792,23802115,24558082,1141107
CH1SP0SE0WE0BP0RE1CO0DI1WO0CS1,164781390,5493110,18490214,34308918,2350952
CH1SP1SE0WE0BP1RE1CO0DI1WO1CS0,160821083,7214976,16856288,39442143,1090094
CH0SP1SE1WE1BP1RE0CO1DI0WO0CS0,171489675,1515667,20081183,31661628,676431
CH1SP1SE0WE0BP0RE1CO0DI0WO1CS0,167061029,6549240,15917862,34773397,1123056
CH1SP1SE0WE0BP0RE1CO0DI0WO1CS1,166735966,6370513,15843201,34776288,1698616
CH0SP0SE1WE1BP0RE1CO0DI1WO1CS0,166152766,5217753,17874693,34629513,1549859
CH0SP1SE0WE0BP1RE0CO0DI0WO1CS1,172453102,2015016,19609373,30072476,1274617
CH1SP0SE1WE0BP0RE0CO0DI1WO0CS0,170239591,4712231,18606972,30775281,1090509
CH1SP1SE0WE0BP1RE1CO1DI0WO1CS0,164740974,7704995,19145984,32974148,858483
CH1SP1SE0WE0BP1RE0CO1DI0WO0CS0,170650404,2422722,19663990,31984358,703110
CH1SP0SE1WE0BP0RE1CO0DI0WO0CS1,170060481,5577406,19412784,27673439,2700474
CH0SP1SE0WE1BP1RE0CO0DI0WO0CS0,173220500,990020,19995402,30556818,661844
CH1SP0SE1WE0BP1RE0CO1DI0WO0CS1,172349376,3963530,22984688,24441237,1685753
CH1SP0SE1WE0BP0RE0CO0DI0WO1CS1,173536097,5831909,19048973,25216248,1791357
CH0SP1SE1WE0BP0RE0CO1DI0WO1CS0,170724216,3318760,16108378,34504956,768274
CH0SP1SE0WE0BP0RE1CO0DI1WO0CS0,162184512,2168089,15091132,44823616,1157235
CH1SP0SE0WE0BP1RE0CO0DI0WO1CS0,173706879,4685614,22917313,23288538,826240
CH1SP1SE0WE0BP1RE0CO0DI1WO0CS1,167226034,2181086,17448511,37141776,1427177
CH0SP1SE0WE0BP0RE1CO0DI0WO1CS1,167931109,3156820,16145997,35825375,2365283
CH0SP1SE0WE1BP1RE0CO0DI0WO1CS0,173039236,1934786,19791815,29786174,872573
CH1SP1SE0WE0BP1RE1CO0DI0WO0CS1,167806386,3275834,19198199,33041784,2102381
CH0SP0SE0WE0BP0RE0CO1DI0WO0CS0,174092344,2054753,20514875,27501576,1261036
CH0SP0SE0WE1BP1RE0CO1DI0WO0CS0,174347930,1492999,24127494,24694203,761958
CH0SP0SE0WE1BP1RE0CO0DI0WO1CS0,175187600,2461870,23347760,23562957,864397
CH0SP1SE1WE0BP1RE0CO0DI0WO0CS1,172785229,1309185,19670624,30162291,1497255
CH1SP0SE0WE0BP0RE0CO1DI0WO1CS0,171558118,7304523,19326842,26075890,1159211
CH1SP1SE0WE1BP0RE0CO1DI0WO1CS0,170177819,4622609,16326763,33356949,940444
CH0SP1SE0WE0BP0RE0CO0DI1WO1CS0,167447670,2545774,15147296,39338910,944934
CH1SP0SE0WE0BP1RE1CO0DI0WO0CS0,170704267,4516264,23463992,25702540,1037521
CH1SP1SE0WE0BP0RE1CO1DI1WO0CS0,158868417,4963334,14886011,45495517,1211305
CH1SP0SE0WE1BP0RE0CO0DI0WO0CS1,175241282,2289923,20261325,26101274,1530780
CH0SP0SE0WE0BP0RE1CO1DI0WO0CS0,169928684,2936046,20080356,30840503,1638995
CH0SP1SE1WE1BP0RE0CO0DI0WO0CS0,173242515,1438904,16480314,33473956,788895
CH1SP0SE1WE0BP0RE1CO0DI0WO0CS0,170637222,5869557,19415908,28199509,1302388
CH1SP1SE0WE0BP0RE0CO0DI1WO0CS0,167163590,2735286,15325086,39534563,666059
CH0SP1SE1WE1BP1RE0CO1DI0WO1CS0,171153325,2921627,19591277,31021894,736461
CH0SP1SE1WE1BP1RE0CO0DI1WO0CS0,168261637,1633810,17565575,37232751,730811
CH0SP0SE0WE1BP0RE1CO1DI0WO0CS0,170518964,2735274,20230674,30525885,1413787
CH0SP1SE0WE0BP1RE1CO0DI0WO1CS1,168115568,2959668,19133510,33151022,2064816
CH0SP1SE0WE1BP0RE1CO0DI0WO0CS1,169090641,1619900,16349148,36439644,1925251
CH0SP0SE0WE0BP1RE0CO0DI0WO1CS0,175006254,2607966,23576683,23493180,740501
CH1SP0SE1WE1BP0RE0CO1DI0WO0CS0,173256062,4286377,19912586,26881466,1088093
CH1SP0SE1WE0BP0RE1CO1DI0WO0CS0,168469045,7044287,19488444,29063037,1359771
CH0SP1SE0WE1BP0RE1CO0DI0WO0CS0,169509501,1734463,16361128,36793882,1025610
CH1SP0SE0WE1BP1RE0CO0DI0WO1CS1,173988057,4182547,22977952,23228577,1047451
CH0SP0SE0WE1BP0RE0CO1DI0WO0CS1,174025962,1950446,20567854,27398780,1481542
CH0SP0SE0WE1BP0RE1CO1DI1WO0CS0,164263375,3053383,18924471,37534905,1648450
CH0SP0SE0WE1BP0RE1CO0DI0WO0CS0,172307509,2308241,20040291,29406549,1361994
CH0SP0SE1WE0BP1RE1CO1DI0WO0CS0,169957677,3129452,23558478,27420805,1358172
CH1SP0SE0WE1BP1RE0CO0DI0WO1CS0,174000120,4269725,22900882,23375583,878274
CH0SP0SE1WE1BP0RE1CO1DI1WO0CS0,164013899,3812581,18627176,37508388,1462540
CH0SP0SE0WE1BP1RE0CO0DI0WO1CS1,175126889,2415374,23095011,23437421,1349889
CH0SP1SE1WE1BP1RE0CO1DI0WO0CS1,171249089,1445272,19721216,31831329,1177678
CH1SP1SE0WE1BP1RE0CO0DI0WO0CS1,172799923,1378035,19790368,30084682,1371576
CH0SP0SE1WE1BP0RE1CO0DI0WO0CS1,171950318,2770297,19751982,28530317,2421670
CH0SP0SE0WE0BP1RE0CO1DI1WO0CS0,169115736,2301070,21732457,31091374,1183947
CH1SP1SE0WE0BP1RE0CO0DI0WO0CS0,172661512,1851764,19783490,30335783,792035
CH1SP0SE0WE0BP1RE0CO0DI0WO1CS1,173454091,4471884,22886354,23357664,1254591
CH1SP0SE0WE1BP0RE0CO1DI1WO0CS0,168804439,4310653,19045551,32447633,816308
CH0SP0SE1WE1BP0RE0CO0DI1WO0CS1,171277995,2658633,18824577,30971464,1691915
CH0SP1SE1WE0BP1RE1CO0DI0WO0CS1,168467489,1972117,19446926,33213775,2324277
CH1SP0SE0WE0BP1RE1CO1DI0WO1CS0,167073398,9445123,22546366,25619001,740696
CH1SP0SE0WE0BP0RE1CO1DI0WO1CS0,166942584,9997504,19000331,27956089,1528076
CH0SP0SE0WE1BP0RE0CO1DI1WO0CS0,169557274,2426605,19093432,33332751,1014522
CH0SP0SE1WE0BP0RE0CO0DI1WO1CS0,170739464,4570732,18251653,30694488,1168247
CH1SP0SE0WE1BP1RE0CO1DI0WO1CS0,172098110,5662161,23040243,23838440,785630
CH0SP0SE1WE0BP0RE1CO0DI1WO1CS0,165266648,5548095,17863734,35164518,1581589
CH1SP1SE0WE1BP1RE0CO0DI0WO1CS0,172268141,3360103,19537168,29663344,595828
CH1SP1SE0WE0BP1RE0CO0DI1WO0CS0,167409492,2323345,17532428,37316535,842784
CH0SP1SE0WE1BP1RE0CO0DI1WO1CS0,167994479,2309600,17633812,36755940,730753
CH1SP0SE0WE1BP0RE1CO0DI0WO0CS1,171247317,3816587,19959337,28214355,2186988
CH1SP0SE1WE1BP0RE0CO0DI1WO0CS1,170511155,4548189,18400315,30354671,1610254
CH0SP0SE1WE0BP0RE0CO1DI0WO0CS0,173835388,2758953,20234795,27556402,1039046
CH1SP0SE1WE0BP1RE0CO0DI0WO0CS1,174506406,2631017,22974822,23756067,1556272
CH0SP1SE0WE0BP1RE0CO1DI0WO0CS0,171193381,1381414,20001064,32218645,630080
CH0SP0SE0WE1BP0RE1CO0DI0WO1CS1,171437735,3782691,19646709,28391307,2166142
CH1SP0SE0WE1BP0RE0CO1DI0WO0CS0,173607096,3382901,20392049,27071160,971378
CH0SP1SE1WE1BP0RE0CO0DI1WO0CS0,168061053,1650878,15247423,39343480,1121750
CH1SP0SE0WE0BP1RE1CO1DI1WO0CS0,162507639,6423484,20983138,34261748,1248575
CH1SP0SE0WE1BP0RE0CO0DI0WO1CS1,174147696,4760876,19640970,25271982,1603060
CH1SP1SE0WE0BP1RE1CO0DI0WO1CS1,166864094,6109397,18916374,31890356,1644363
CH0SP0SE0WE0BP0RE0CO1DI0WO1CS0,173269554,4045587,19962764,26812226,1334453
CH1SP0SE1WE1BP0RE0CO0DI0WO1CS0,174216179,5757551,19185418,25154426,1111010
CH0SP1SE1WE0BP1RE0CO0DI1WO0CS0,167785977,1714613,17374446,37547210,1002338
CH0SP1SE0WE1BP0RE1CO0DI1WO0CS1,162866861,1854007,15221424,43851210,1631082
CH1SP0SE0WE1BP0RE1CO0DI1WO0CS1,165798074,4853686,18525411,34396927,1850486
CH0SP0SE0WE0BP0RE0CO1DI1WO0CS0,169045945,2495493,19284894,33395497,1202755
CH0SP0SE1WE1BP0RE0CO1DI0WO1CS0,173750788,4585999,19491970,26436941,1158886
CH0SP0SE1WE0BP0RE1CO0DI1WO0CS1,165244954,3548584,18451994,35415604,2763448
CH1SP0SE1WE0BP1RE0CO0DI0WO1CS0,173450820,5629403,22263779,23105117,975465
CH0SP1SE0WE0BP1RE0CO0DI0WO0CS1,172840693,997437,19774366,30439959,1372129
CH0SP0SE1WE0BP1RE0CO1DI0WO0CS0,173823145,2241616,23576068,24861917,921838
CH1SP0SE0WE0BP1RE0CO0DI0WO0CS1,174568577,2127901,23279782,23847570,1600754
CH1SP0SE1WE0BP0RE0CO0DI0WO0CS0,174789004,3767542,19743584,25972990,1151464
CH0SP0SE0WE0BP1RE0CO0DI0WO0CS0,175472052,1360106,24021884,23941389,629153
CH0SP1SE0WE1BP1RE0CO0DI1WO0CS0,168323881,1205889,17540712,37249794,1104308
CH0SP0SE0WE0BP0RE1CO0DI0WO1CS0,171204315,4196287,19590226,28732834,1700922
CH1SP0SE0WE0BP0RE1CO0DI0WO0CS0,170793140,4928961,19808810,28456804,1436869
CH0SP1SE1WE0BP1RE1CO0DI1WO1CS0,161820817,3988797,16872293,41707411,1035266
CH0SP1SE1WE0BP1RE0CO0DI1WO1CS0,167413636,2903988,17297937,36675407,1133616
CH0SP0SE1WE0BP0RE1CO0DI1WO0CS0,165715327,3455002,18430360,36261903,1561992
CH0SP1SE1WE1BP0RE0CO0DI0WO1CS0,172884242,2701576,16317266,32649235,872265
CH1SP0SE0WE0BP0RE1CO0DI0WO1CS0,169409422,8091532,19184836,27445790,1293004
CH0SP0SE1WE0BP0RE0CO0DI0WO1CS1,174721984,3663638,19503233,25603618,1932111
CH1SP0SE0WE1BP0RE0CO0DI1WO0CS0,170801656,3671430,18909212,30950386,1091900
CH1SP0SE1WE0BP1RE0CO0DI1WO1CS0,169106585,7355257,20186832,27741497,1034413
CH1SP1SE0WE1BP1RE0CO1DI1WO0CS0,165484701,2640678,17448716,38785502,1064987
CH0SP1SE0WE0BP0RE0CO0DI1WO0CS0,167896107,1386609,15431630,39942910,767328
CH1SP0SE1WE0BP1RE0CO0DI1WO0CS1,170266105,3854616,21117614,28618484,1567765
CH0SP1SE0WE1BP1RE0CO0DI1WO0CS1,168153747,1281810,17643395,37018525,1327107
CH0SP1SE1WE0BP0RE0CO0DI1WO0CS0,167759153,1736152,15234733,39579444,1115102
CH0SP0SE0WE0BP1RE1CO0DI0WO1CS0,171320288,3705518,23489317,25786279,1123182
CH0SP0SE0WE0BP1RE1CO1DI1WO0CS0,163407880,3115080,21443633,36073444,1384547
CH0SP0SE1WE0BP1RE1CO1DI0WO1CS0,169234187,5406224,22781463,26587349,1415361
CH0SP0SE0WE1BP0RE0CO0DI1WO0CS0,171482803,2095873,19080098,31572641,1193169
CH0SP0SE0WE0BP1RE1CO0DI0WO1CS1,170430025,3669932,22965769,25632524,2726334
