,stock_C,stock_E,stock_N,stock_P,stock_S,total_emissions
CH0SP0SE0WE1BP0RE0CO0DI0WO0CS1,110238946.0,1545242.0,12940684.0,13113122.0,1710558.0,1260961549774.9214
CH0SP0SE0WE1BP0RE0CO0DI0WO1CS0,110018372.0,2977147.0,12520825.0,12964410.0,1067798.0,1258263745405.4565
CH0SP0SE0WE1BP0RE0CO0DI0WO1CS1,109797070.0,3051819.0,12278098.0,12666045.0,1755520.0,1261449740044.059
CH0SP0SE0WE1BP0RE0CO0DI1WO0CS0,106589941.0,2063410.0,11773306.0,17977407.0,1144488.0,1241855471303.5364
CH0SP0SE0WE1BP0RE0CO0DI1WO0CS1,106430430.0,1992759.0,11777583.0,17601364.0,1746416.0,1243596703122.4692
CH0SP0SE0WE1BP0RE0CO0DI1WO1CS0,106198827.0,3636481.0,11307800.0,17424417.0,981027.0,1240693820982.4229
CH0SP0SE0WE1BP0RE0CO1DI0WO0CS0,108891539.0,1942892.0,13143027.0,14435248.0,1135846.0,1265319445879.0186
CH0SP0SE0WE1BP0RE0CO1DI0WO0CS1,108657287.0,1917530.0,13088022.0,14453940.0,1431773.0,1265405069947.8955
CH0SP0SE0WE1BP0RE0CO1DI0WO1CS0,108305912.0,3830634.0,12509569.0,13734337.0,1168100.0,1263737974236.2231
CH0SP0SE0WE1BP0RE0CO1DI1WO0CS0,104614490.0,2393569.0,11801567.0,19773293.0,965633.0,1242562217241.6453
CH0SP0SE0WE1BP0RE1CO0DI0WO0CS0,106932946.0,2277626.0,12630126.0,16395829.0,1312025.0,1242702310032.769
CH0SP0SE0WE1BP0RE1CO0DI0WO0CS1,106636419.0,2093503.0,12637897.0,15764012.0,2416721.0,1245520273839.9958
CH0SP0SE0WE1BP0RE1CO0DI0WO1CS0,106456115.0,3908296.0,12155849.0,15776632.0,1251660.0,1240988257079.774
CH0SP0SE0WE1BP0RE1CO0DI0WO1CS1,106097081.0,3751417.0,12177486.0,15408726.0,2113842.0,1242417162830.1272
CH0SP0SE0WE1BP0RE1CO0DI1WO0CS0,101570658.0,2637853.0,11515549.0,22288684.0,1535808.0,1215975107305.3896
CH0SP0SE0WE1BP0RE1CO0DI1WO0CS1,101477098.0,2559685.0,11507778.0,22060912.0,1943079.0,1217433600355.7727
CH0SP0SE0WE1BP0RE1CO0DI1WO1CS0,101071695.0,4453560.0,11046974.0,21570812.0,1405511.0,1213846608015.2314
CH0SP0SE0WE1BP0RE1CO1DI0WO0CS0,105127649.0,2703338.0,12769082.0,17584616.0,1363867.0,1248049849526.8098
CH0SP0SE0WE1BP0RE1CO1DI0WO0CS1,104616950.0,2612864.0,12833033.0,16972210.0,2513495.0,1249347899312.7307
CH0SP0SE0WE1BP0RE1CO1DI0WO1CS0,104557198.0,4714205.0,12188541.0,16823173.0,1265435.0,1245314412568.6472
CH0SP0SE0WE1BP0RE1CO1DI1WO0CS0,99305497.0,3021779.0,11596277.0,24029620.0,1595379.0,1215140681812.5454
CH0SP0SE0WE1BP1RE0CO0DI0WO0CS0,110357483.0,1219166.0,16492191.0,10794705.0,685007.0,1242326111952.6824
CH0SP0SE0WE1BP1RE0CO0DI0WO0CS1,110031380.0,1173201.0,16056309.0,10757334.0,1530328.0,1246033911848.4045
CH0SP0SE0WE1BP1RE0CO0DI0WO1CS0,109829600.0,2431548.0,15892402.0,10583955.0,811047.0,1242354998179.0605
CH0SP0SE0WE1BP1RE0CO0DI0WO1CS1,109716823.0,2385670.0,15645586.0,10501796.0,1298677.0,1244512507734.3276
